highway,direction,exit,exit_name

Van Wyck Expressway, NB, Exit A, Return to Terminals/PAPD
Van Wyck Expressway, NB, Exit C, Federal Circle
Van Wyck Expressway, NB, Exits 1-1E, EB Belt
Van Wyck Expressway, NB, Exits 1W-2, WB Belt 
Van Wyck Expressway, NB, Exit 3, Linden Blvd
Van Wyck Expressway, NB, Exit 4, Liberty Ave/Atlantic Ave
Van Wyck Expressway, NB, Exit 6, Jamaica Ave/Hillside Ave
Van Wyck Expressway, NB, Exit 8, Main St
Van Wyck Expressway, NB, Exit 9, Queens Blvd/Hillside Ave
Van Wyck Expressway, NB, Exit 10, GCP/LGA Airport/RFK Br
Van Wyck Expressway, NB, Exit 11, 69th Rd/Jewel Ave
Van Wyck Expressway, NB, Exit 12A, EB LIE/ Eastern LI
Van Wyck Expressway, NB, Exit 12B WB LIE/Manhattan
Van Wyck Expressway, NB, Exit 13, Northern Blvd/Astoria Blvd/ RFK Br
Whitestone Expressway, NB, Exit 14, Linden Pl
Whitestone, NB, Exit 15, 20th Ave
Whitestone, NB, Exit 16, SB CIP
Whitestone, NB, Exit 17, 3rd Ave
Whitestone, NB, Whitestone Br
I-678, NB, Exit 18 Lafayette Ave
I-678, NB, Exits 19N-S-W I-95/I-278
I-678, NB, Hutchinson River Pkwy
I-678, SB, Hutchinson River Pkwy
I-678, SB, Exit 18, Ferry Point Park/Lafayette Ave
I-678, SB, Whitestone Br
Whitestone Expressway, SB, Exit 17, 14th Ave
Whitestone Expressway, SB, Exit 16, Cross Island Pkwy
Whitestone Expressway, SB, Exit 15, 20th Ave
Whitestone Expressway, SB, Exit 14, Linden Pl
Whitestone Expressway, SB, Exits 13A-D/WB Astoria Blvd/GCP/LGA/N. Blvd/Citi Field
Van Wyck Expressway, SB, Exit 12A, EB LIE/College Pt Blvd
Van Wyck Expressway, SB, Exit 12B, WB LIE/Manhattan
Van Wyck Expressway, SB, Exit 11, 69th Rd/Jewel Ave
Van Wyck Expressway, SB, Exits 7C-A, Queens Blvd/WB Union Tpke/WB JRP
Van Wyck Expressway, SB, Exit 6, Hillside Ave/Jamaica Ave
Van Wyck Expressway, SB, Exit 5, Atlantic Ave
Van Wyck Expressway, SB, Exit 4, 101st Ave/Liberty Ave
Van Wyck Expressway, SB, Exit 3, Linden Blvd
